1;Toyota;Celica;175;289000;20000.0;1996
2;Toyota;Camry;175;279000;19000.0;1997
3;Toyota;Supra;175;269000;18000.0;1998
4;Ford;Focus;175;259000;17000.0;1999
5;Opel;Corsa;175;249000;16000.0;2000
6;Opel;Vivaro;175;239000;15000.0;2001
7;Mazda;6;220;190000;15000.0;2001
8;Mazda;mx5;140;192000;44000.0;2009
9;Toyota;Celica;175;289000;20000.0;1996
10;Ford;Mustang;440;59900;59000.0;2007
11;Ford;Galaxy;140;41230;31440.0;2007
12;Ford;Puma;100;123000;3000.0;1999
13;Fiat;Punto;75;220000;2500.0;2000
14;Volkswagen;Lupo;55;125000;6000.0;2005
